nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure velocity-magnitude      sound-speed      temperature rel-velocity-magnitude relative-velocity-angle 
         1 -2.216901913E-02  1.039879580E-01 -4.300600202E-02  8.754793144E+04  1.539575662E+02  3.330491301E+02  2.762227610E+02  2.357976961E+02  8.594144227E-01 
         2 -2.197401757E-02  1.042260031E-01 -4.002397295E-02  8.746502115E+04  1.544327653E+02  3.330057102E+02  2.761507773E+02  2.363351781E+02  8.589019319E-01 
         3 -2.150271627E-02  1.045375264E-01 -3.708169353E-02  8.736152594E+04  1.550333645E+02  3.329519200E+02  2.760615554E+02  2.369897718E+02  8.582119294E-01 
         4 -2.072290556E-02  1.049359494E-01 -3.421635317E-02  8.725362488E+04  1.556755600E+02  3.328965602E+02  2.759697418E+02  2.376875100E+02  8.575195670E-01 
         5 -1.964621854E-02  1.053757771E-01 -3.145501365E-02  8.714883545E+04  1.563508596E+02  3.328396206E+02  2.758753676E+02  2.384485426E+02  8.569297586E-01 
         6 -1.833909717E-02  1.058829391E-01 -2.880182754E-02  8.701009546E+04  1.571054230E+02  3.327667913E+02  2.757546587E+02  2.393715224E+02  8.565160315E-01 
         7 -1.686396899E-02  1.064019756E-01 -2.624136390E-02  8.681799829E+04  1.580037236E+02  3.326651974E+02  2.755863113E+02  2.403897171E+02  8.556799814E-01 
         8 -1.524276490E-02  1.069101094E-01 -2.376908005E-02  8.661277087E+04  1.589842126E+02  3.325537715E+02  2.754017444E+02  2.415023446E+02  8.547725324E-01 
         9 -1.353040875E-02  1.074492491E-01 -2.136449246E-02  8.638703296E+04  1.601380186E+02  3.324305043E+02  2.751976597E+02  2.427827022E+02  8.535738811E-01 
        10 -1.175719847E-02  1.079385502E-01 -1.899452623E-02  8.616192871E+04  1.614393167E+02  3.323100917E+02  2.749983225E+02  2.439315114E+02  8.511165269E-01 
        11 -9.920451205E-03  1.084473482E-01 -1.667649769E-02  8.607474493E+04  1.625309640E+02  3.322684312E+02  2.749293517E+02  2.446192936E+02  8.481827134E-01 
        12 -8.053093039E-03  1.089314126E-01 -1.437870322E-02  8.619883087E+04  1.631164840E+02  3.323357784E+02  2.750408053E+02  2.445381267E+02  8.453186024E-01 
        13 -6.139911673E-03  1.093816015E-01 -1.211111235E-02  8.661768335E+04  1.628258009E+02  3.325576143E+02  2.754081035E+02  2.434246879E+02  8.435359374E-01 
        14 -4.213714023E-03  1.098625599E-01 -9.853315987E-03  8.750627393E+04  1.606318521E+02  3.330275421E+02  2.761870842E+02  2.406168470E+02  8.463799581E-01 
        15 -2.267252226E-03  1.102821410E-01 -7.616721013E-03  8.853268701E+04  1.566059999E+02  3.335612297E+02  2.770730639E+02  2.372045250E+02  8.575908393E-01 
